table_name,field_name,language,translation,record_id,field_value
routes,route_long_name,bs,T Line - Zamjenski autobus,TLINE_S,
routes,route_long_name,hr,T Line - Zamjenski autobus,TLINE_S,
routes,route_long_name,nl,T Line - Vervangende pendelbus,TLINE_S,
routes,route_long_name,fr,T Line - Bus de remplacement,TLINE_S,
routes,route_long_name,de,T Line - Ersatz-Pendelbus,TLINE_S,
routes,route_long_name,it,T Line - Bus sostitutivo,TLINE_S,
routes,route_long_name,ko,T Line - 대체 셔틀버스,TLINE_S,
routes,route_long_name,fa,T Line - اتوبوس جایگزین,TLINE_S,
routes,route_long_name,ru,T Line - Автобус-замена,TLINE_S,
routes,route_long_name,sr,T Line - Аутобус замена,TLINE_S,
routes,route_long_name,tl,T Line - Kapalit na Shuttle Bus,TLINE_S,
routes,route_long_name,vi,T Line - Xe trung chuyển thay thế,TLINE_S,
routes,route_long_name,cy,T Line - Bws Gwennol Amnewid,TLINE_S,
routes,route_long_name,sw,Basi la Mbadala Ruti wa T,TLINE_S,
routes,route_long_name,pt-PT,T Line - Autocarro de Substituição,TLINE_S,
routes,route_long_name,af,T Line - Vervangings-pendelbus,TLINE_S,
routes,route_desc,es,1 Line circula entre Lynnwood City Center Station y Federal Way Downtown Station los siete días de la semana,100479,
routes,route_desc,zh-Hans,1 Line 在 Lynnwood City Center Station 和 Federal Way Downtown Station 之间每天运行,100479,
routes,route_desc,ar,خط 1 Line يسير بين Lynnwood City Center Station و Federal Way Downtown Station سبعة أيام في الأسبوع,100479,
routes,route_desc,bs,1 Line saobraća između Lynnwood City Center Station i Federal Way Downtown Station sedam dana u tjednu,100479,
routes,route_desc,hr,1 Line prometuje između Lynnwood City Center Station i Federal Way Downtown Station sedam dana u tjednu,100479,
routes,route_desc,nl,1 Line rijdt tussen Lynnwood City Center Station en Federal Way Downtown Station zeven dagen per week,100479,
routes,route_desc,fr,1 Line circule entre Lynnwood City Center Station et Federal Way Downtown Station sept jours sur sept,100479,
routes,route_desc,de,1 Line verkehrt zwischen Lynnwood City Center Station und Federal Way Downtown Station sieben Tage die Woche,100479,
routes,route_desc,it,1 Line circola tra Lynnwood City Center Station e Federal Way Downtown Station sette giorni su sette,100479,
routes,route_desc,ko,1 Line은 Lynnwood City Center Station과 Federal Way Downtown Station 사이를 주 7일 운행합니다,100479,
routes,route_desc,fa,خط 1 Line بین Lynnwood City Center Station و Federal Way Downtown Station هفت روز در هفته تردد می‌کند,100479,
routes,route_desc,ru,1 Line курсирует между Lynnwood City Center Station и Federal Way Downtown Station семь дней в неделю,100479,
routes,route_desc,sr,1 Line саобраћа између Lynnwood City Center Station и Federal Way Downtown Station седам дана у недељи,100479,
routes,route_desc,tl,1 Line nagpapatakbo sa pagitan ng Lynnwood City Center Station at Federal Way Downtown Station pitong araw sa isang linggo,100479,
routes,route_desc,vi,1 Line hoạt động giữa Lynnwood City Center Station và Federal Way Downtown Station bảy ngày một tuần,100479,
routes,route_desc,cy,1 Line yn rhedeg rhwng Lynnwood City Center Station a Federal Way Downtown Station saith diwrnod yr wythnos,100479,
routes,route_desc,sw,1 Line inafanya kazi kati ya Lynnwood City Center Station na Federal Way Downtown Station siku saba kwa wiki,100479,
routes,route_desc,pt-PT,1 Line circula entre Lynnwood City Center Station e Federal Way Downtown Station sete dias por semana,100479,
routes,route_desc,af,1 Line ry tussen Lynnwood City Center Station en Federal Way Downtown Station sewe dae per week,100479,
routes,route_desc,es,2 Line circula entre Lynnwood City Center Station y Downtown Redmond Station los siete días de la semana,2LINE,
routes,route_desc,zh-Hans,2 Line 在 Lynnwood City Center Station 和 Downtown Redmond Station 之间每天运行,2LINE,
routes,route_desc,ar,خط 2 Line يسير بين Lynnwood City Center Station و Downtown Redmond Station سبعة أيام في الأسبوع,2LINE,
routes,route_desc,bs,2 Line saobraća između Lynnwood City Center Station i Downtown Redmond Station sedam dana u tjednu,2LINE,
routes,route_desc,hr,2 Line prometuje između Lynnwood City Center Station i Downtown Redmond Station sedam dana u tjednu,2LINE,
routes,route_desc,nl,2 Line rijdt tussen Lynnwood City Center Station en Downtown Redmond Station zeven dagen per week,2LINE,
routes,route_desc,fr,2 Line circule entre Lynnwood City Center Station et Downtown Redmond Station sept jours sur sept,2LINE,
routes,route_desc,de,2 Line verkehrt zwischen Lynnwood City Center Station und Downtown Redmond Station sieben Tage die Woche,2LINE,
routes,route_desc,it,2 Line circola tra Lynnwood City Center Station e Downtown Redmond Station sette giorni su sette,2LINE,
routes,route_desc,ko,2 Line은 Lynnwood City Center Station과 Downtown Redmond Station 사이를 주 7일 운행합니다,2LINE,
routes,route_desc,fa,خط 2 Line بین Lynnwood City Center Station و Downtown Redmond Station هفت روز در هفته تردد می‌کند,2LINE,
routes,route_desc,ru,2 Line курсирует между Lynnwood City Center Station и Downtown Redmond Station семь дней в неделю,2LINE,
routes,route_desc,sr,2 Line саобраћа између Lynnwood City Center Station и Downtown Redmond Station седам дана у недељи,2LINE,
routes,route_desc,tl,2 Line nagpapatakbo sa pagitan ng Lynnwood City Center Station at Downtown Redmond Station pitong araw sa isang linggo,2LINE,
routes,route_desc,vi,2 Line hoạt động giữa Lynnwood City Center Station và Downtown Redmond Station bảy ngày một tuần,2LINE,
routes,route_desc,cy,2 Line yn rhedeg rhwng Lynnwood City Center Station a Downtown Redmond Station saith diwrnod yr wythnos,2LINE,
routes,route_desc,sw,2 Line inafanya kazi kati ya Lynnwood City Center Station na Downtown Redmond Station siku saba kwa wiki,2LINE,
routes,route_desc,pt-PT,2 Line circula entre Lynnwood City Center Station e Downtown Redmond Station sete dias por semana,2LINE,
routes,route_desc,af,2 Line ry tussen Lynnwood City Center Station en Downtown Redmond Station sewe dae per week,2LINE,
routes,route_desc,es,N Line circula entre Everett Station y King Street Station los días laborables,SNDR_EV,
routes,route_desc,zh-Hans,N Line 在 Everett Station 和 King Street Station 之间工作日运行,SNDR_EV,
routes,route_desc,ar,خط N Line يسير بين Everett Station و King Street Station أيام الأسبوع,SNDR_EV,
routes,route_desc,bs,N Line saobraća između Everett Station i King Street Station radnim danima,SNDR_EV,
routes,route_desc,hr,N Line prometuje između Everett Station i King Street Station radnim danima,SNDR_EV,
routes,route_desc,nl,N Line rijdt tussen Everett Station en King Street Station op werkdagen,SNDR_EV,
routes,route_desc,fr,N Line circule entre Everett Station et King Street Station les jours ouvrables,SNDR_EV,
routes,route_desc,de,N Line verkehrt zwischen Everett Station und King Street Station an Werktagen,SNDR_EV,
routes,route_desc,it,N Line circola tra Everett Station e King Street Station nei giorni feriali,SNDR_EV,
routes,route_desc,ko,N Line은 Everett Station과 King Street Station 사이를 평일 운행합니다,SNDR_EV,
routes,route_desc,fa,خط N Line بین Everett Station و King Street Station روزهای کاری تردد می‌کند,SNDR_EV,
routes,route_desc,ru,N Line курсирует между Everett Station и King Street Station по будням,SNDR_EV,
routes,route_desc,sr,N Line саобраћа између Everett Station и King Street Station радним данима,SNDR_EV,
routes,route_desc,tl,N Line nagpapatakbo sa pagitan ng Everett Station at King Street Station sa mga araw ng trabaho,SNDR_EV,
routes,route_desc,vi,N Line hoạt động giữa Everett Station và King Street Station các ngày trong tuần,SNDR_EV,
routes,route_desc,cy,N Line yn rhedeg rhwng Everett Station a King Street Station ar ddyddiau gwaith,SNDR_EV,
routes,route_desc,sw,N Line inafanya kazi kati ya Everett Station na King Street Station siku za kazi,SNDR_EV,
routes,route_desc,pt-PT,N Line circula entre Everett Station e King Street Station nos dias úteis,SNDR_EV,
routes,route_desc,af,N Line ry tussen Everett Station en King Street Station op weeksdae,SNDR_EV,
routes,route_desc,es,S Line circula entre King Street Station y Tacoma Dome o Lakewood Stations los días laborables,SNDR_TL,
routes,route_desc,zh-Hans,S Line 在 King Street Station 和 Tacoma Dome 或 Lakewood Stations 之间工作日运行,SNDR_TL,
routes,route_desc,ar,خط S Line يسير بين King Street Station و Tacoma Dome أو Lakewood Stations أيام الأسبوع,SNDR_TL,
routes,route_desc,bs,S Line saobraća između King Street Station i Tacoma Dome ili Lakewood Stations radnim danima,SNDR_TL,
routes,route_desc,hr,S Line prometuje između King Street Station i Tacoma Dome ili Lakewood Stations radnim danima,SNDR_TL,
routes,route_desc,nl,S Line rijdt tussen King Street Station en Tacoma Dome of Lakewood Stations op werkdagen,SNDR_TL,
routes,route_desc,fr,S Line circule entre King Street Station et Tacoma Dome ou Lakewood Stations les jours ouvrables,SNDR_TL,
routes,route_desc,de,S Line verkehrt zwischen King Street Station und Tacoma Dome oder Lakewood Stations an Werktagen,SNDR_TL,
routes,route_desc,it,S Line circola tra King Street Station e Tacoma Dome o Lakewood Stations nei giorni feriali,SNDR_TL,
routes,route_desc,ko,S Line은 King Street Station과 Tacoma Dome 또는 Lakewood Stations 사이를 평일 운행합니다,SNDR_TL,
routes,route_desc,fa,خط S Line بین King Street Station و Tacoma Dome یا Lakewood Stations روزهای کاری تردد می‌کند,SNDR_TL,
routes,route_desc,ru,S Line курсирует между King Street Station и Tacoma Dome или Lakewood Stations по будням,SNDR_TL,
routes,route_desc,sr,S Line саобраћа између King Street Station и Tacoma Dome или Lakewood Stations радним данима,SNDR_TL,
routes,route_desc,tl,S Line nagpapatakbo sa pagitan ng King Street Station at Tacoma Dome o Lakewood Stations sa mga araw ng trabaho,SNDR_TL,
routes,route_desc,vi,S Line hoạt động giữa King Street Station và Tacoma Dome hoặc Lakewood Stations các ngày trong tuần,SNDR_TL,
routes,route_desc,cy,S Line yn rhedeg rhwng King Street Station a Tacoma Dome neu Lakewood Stations ar ddyddiau gwaith,SNDR_TL,
routes,route_desc,sw,S Line inafanya kazi kati ya King Street Station na Tacoma Dome au Lakewood Stations siku za kazi,SNDR_TL,
routes,route_desc,pt-PT,S Line circula entre King Street Station e Tacoma Dome ou Lakewood Stations nos dias úteis,SNDR_TL,
routes,route_desc,af,S Line ry tussen King Street Station en Tacoma Dome of Lakewood Stations op weeksdae,SNDR_TL,
routes,route_desc,es,T Line circula entre Tacoma Dome Station y St Joseph Station los siete días de la semana,TLINE,
routes,route_desc,zh-Hans,T Line 在 Tacoma Dome Station 和 St Joseph Station 之间每天运行,TLINE,
routes,route_desc,ar,خط T Line يسير بين Tacoma Dome Station و St Joseph Station سبعة أيام في الأسبوع,TLINE,
routes,route_desc,bs,T Line saobraća između Tacoma Dome Station i St Joseph Station sedam dana u tjednu,TLINE,
routes,route_desc,hr,T Line prometuje između Tacoma Dome Station i St Joseph Station sedam dana u tjednu,TLINE,
routes,route_desc,nl,T Line rijdt tussen Tacoma Dome Station en St Joseph Station zeven dagen per week,TLINE,
routes,route_desc,fr,T Line circule entre Tacoma Dome Station et St Joseph Station sept jours sur sept,TLINE,
routes,route_desc,de,T Line verkehrt zwischen Tacoma Dome Station und St Joseph Station sieben Tage die Woche,TLINE,
routes,route_desc,it,T Line circola tra Tacoma Dome Station e St Joseph Station sette giorni su sette,TLINE,
routes,route_desc,ko,T Line은 Tacoma Dome Station과 St Joseph Station 사이를 주 7일 운행합니다,TLINE,
routes,route_desc,fa,خط T Line بین Tacoma Dome Station و St Joseph Station هفت روز در هفته تردد می‌کند,TLINE,
routes,route_desc,ru,T Line курсирует между Tacoma Dome Station и St Joseph Station семь дней в неделю,TLINE,
routes,route_desc,sr,T Line саобраћа између Tacoma Dome Station и St Joseph Station седам дана у недељи,TLINE,
routes,route_desc,tl,T Line nagpapatakbo sa pagitan ng Tacoma Dome Station at St Joseph Station pitong araw sa isang linggo,TLINE,
routes,route_desc,vi,T Line hoạt động giữa Tacoma Dome Station và St Joseph Station bảy ngày một tuần,TLINE,
routes,route_desc,cy,T Line yn rhedeg rhwng Tacoma Dome Station a St Joseph Station saith diwrnod yr wythnos,TLINE,
routes,route_desc,sw,T Line inafanya kazi kati ya Tacoma Dome Station na St Joseph Station siku saba kwa wiki,TLINE,
routes,route_desc,pt-PT,T Line circula entre Tacoma Dome Station e St Joseph Station sete dias por semana,TLINE,
routes,route_desc,af,T Line ry tussen Tacoma Dome Station en St Joseph Station sewe dae per week,TLINE,
stops,stop_desc,es,6th Ave a St Joseph,,6th Ave to St Joseph
stops,stop_desc,zh-Hans,6th Ave 到 St Joseph,,6th Ave to St Joseph
stops,stop_desc,ar,6th Ave إلى St Joseph,,6th Ave to St Joseph
stops,stop_desc,bs,6th Ave do St Joseph,,6th Ave to St Joseph
stops,stop_desc,hr,6th Ave do St Joseph,,6th Ave to St Joseph
stops,stop_desc,nl,6th Ave naar St Joseph,,6th Ave to St Joseph
stops,stop_desc,fr,6th Ave vers St Joseph,,6th Ave to St Joseph
stops,stop_desc,de,6th Ave nach St Joseph,,6th Ave to St Joseph
stops,stop_desc,it,6th Ave a St Joseph,,6th Ave to St Joseph
stops,stop_desc,ko,6th Ave에서 St Joseph 방향,,6th Ave to St Joseph
stops,stop_desc,fa,6th Ave به St Joseph,,6th Ave to St Joseph
stops,stop_desc,ru,6th Ave до St Joseph,,6th Ave to St Joseph
stops,stop_desc,sr,6th Ave до St Joseph,,6th Ave to St Joseph
stops,stop_desc,tl,6th Ave papunta St Joseph,,6th Ave to St Joseph
stops,stop_desc,vi,6th Ave đến St Joseph,,6th Ave to St Joseph
stops,stop_desc,cy,6th Ave i St Joseph,,6th Ave to St Joseph
stops,stop_desc,sw,6th Ave kwenda St Joseph,,6th Ave to St Joseph
stops,stop_desc,pt-PT,6th Ave para St Joseph,,6th Ave to St Joseph
stops,stop_desc,af,6th Ave na St Joseph,,6th Ave to St Joseph
stops,stop_desc,es,6th Ave a Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,zh-Hans,6th Ave 到 Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,ar,6th Ave إلى Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,bs,6th Ave do Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,hr,6th Ave do Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,nl,6th Ave naar Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,fr,6th Ave vers Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,de,6th Ave nach Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,it,6th Ave a Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,ko,6th Ave에서 Tacoma Dome 방향,,6th Ave to Tacoma Dome
stops,stop_desc,fa,6th Ave به Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,ru,6th Ave до Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,sr,6th Ave до Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,tl,6th Ave papunta Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,vi,6th Ave đến Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,cy,6th Ave i Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,sw,6th Ave kwenda Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,pt-PT,6th Ave para Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,af,6th Ave na Tacoma Dome,,6th Ave to Tacoma Dome
stops,stop_desc,es,Angle Lake a Federal Way,,Angle Lake to Federal Way
stops,stop_desc,zh-Hans,Angle Lake 到 Federal Way,,Angle Lake to Federal Way
stops,stop_desc,ar,Angle Lake إلى Federal Way,,Angle Lake to Federal Way
stops,stop_desc,bs,Angle Lake do Federal Way,,Angle Lake to Federal Way
stops,stop_desc,hr,Angle Lake do Federal Way,,Angle Lake to Federal Way
stops,stop_desc,nl,Angle Lake naar Federal Way,,Angle Lake to Federal Way
stops,stop_desc,fr,Angle Lake vers Federal Way,,Angle Lake to Federal Way
stops,stop_desc,de,Angle Lake nach Federal Way,,Angle Lake to Federal Way
stops,stop_desc,it,Angle Lake a Federal Way,,Angle Lake to Federal Way
stops,stop_desc,ko,Angle Lake에서 Federal Way 방향,,Angle Lake to Federal Way
stops,stop_desc,fa,Angle Lake به Federal Way,,Angle Lake to Federal Way
stops,stop_desc,ru,Angle Lake до Federal Way,,Angle Lake to Federal Way
stops,stop_desc,sr,Angle Lake до Federal Way,,Angle Lake to Federal Way
stops,stop_desc,tl,Angle Lake papunta Federal Way,,Angle Lake to Federal Way
stops,stop_desc,vi,Angle Lake đến Federal Way,,Angle Lake to Federal Way
stops,stop_desc,cy,Angle Lake i Federal Way,,Angle Lake to Federal Way
stops,stop_desc,sw,Angle Lake kwenda Federal Way,,Angle Lake to Federal Way
stops,stop_desc,pt-PT,Angle Lake para Federal Way,,Angle Lake to Federal Way
stops,stop_desc,af,Angle Lake na Federal Way,,Angle Lake to Federal Way
stops,stop_desc,es,Angle Lake a Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,zh-Hans,Angle Lake 到 Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,ar,Angle Lake إلى Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,bs,Angle Lake do Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,hr,Angle Lake do Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,nl,Angle Lake naar Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,fr,Angle Lake vers Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,de,Angle Lake nach Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,it,Angle Lake a Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,ko,Angle Lake에서 Lynnwood 방향,,Angle Lake to Lynnwood
stops,stop_desc,fa,Angle Lake به Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,ru,Angle Lake до Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,sr,Angle Lake до Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,tl,Angle Lake papunta Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,vi,Angle Lake đến Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,cy,Angle Lake i Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,sw,Angle Lake kwenda Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,pt-PT,Angle Lake para Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,af,Angle Lake na Lynnwood,,Angle Lake to Lynnwood
stops,stop_desc,es,Beacon Hill a Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,zh-Hans,Beacon Hill 到 Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,ar,Beacon Hill إلى Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,bs,Beacon Hill do Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,hr,Beacon Hill do Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,nl,Beacon Hill naar Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,fr,Beacon Hill vers Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,de,Beacon Hill nach Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,it,Beacon Hill a Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,ko,Beacon Hill에서 Federal Way 방향,,Beacon Hill to Federal Way
stops,stop_desc,fa,Beacon Hill به Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,ru,Beacon Hill до Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,sr,Beacon Hill до Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,tl,Beacon Hill papunta Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,vi,Beacon Hill đến Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,cy,Beacon Hill i Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,sw,Beacon Hill kwenda Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,pt-PT,Beacon Hill para Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,af,Beacon Hill na Federal Way,,Beacon Hill to Federal Way
stops,stop_desc,es,Beacon Hill a Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,zh-Hans,Beacon Hill 到 Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,ar,Beacon Hill إلى Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,bs,Beacon Hill do Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,hr,Beacon Hill do Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,nl,Beacon Hill naar Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,fr,Beacon Hill vers Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,de,Beacon Hill nach Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,it,Beacon Hill a Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,ko,Beacon Hill에서 Lynnwood 방향,,Beacon Hill to Lynnwood
stops,stop_desc,fa,Beacon Hill به Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,ru,Beacon Hill до Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,sr,Beacon Hill до Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,tl,Beacon Hill papunta Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,vi,Beacon Hill đến Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,cy,Beacon Hill i Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,sw,Beacon Hill kwenda Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,pt-PT,Beacon Hill para Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,af,Beacon Hill na Lynnwood,,Beacon Hill to Lynnwood
stops,stop_desc,es,BelRed a Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,zh-Hans,BelRed 到 Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,ar,BelRed إلى Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,bs,BelRed do Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,hr,BelRed do Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,nl,BelRed naar Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,fr,BelRed vers Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,de,BelRed nach Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,it,BelRed a Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,ko,BelRed에서 Downtown Redmond 방향,,BelRed to Downtown Redmond
stops,stop_desc,fa,BelRed به Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,ru,BelRed до Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,sr,BelRed до Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,tl,BelRed papunta Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,vi,BelRed đến Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,cy,BelRed i Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,sw,BelRed kwenda Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,pt-PT,BelRed para Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,af,BelRed na Downtown Redmond,,BelRed to Downtown Redmond
stops,stop_desc,es,BelRed a South Bellevue,,BelRed to South Bellevue
stops,stop_desc,zh-Hans,BelRed 到 South Bellevue,,BelRed to South Bellevue
stops,stop_desc,ar,BelRed إلى South Bellevue,,BelRed to South Bellevue
stops,stop_desc,bs,BelRed do South Bellevue,,BelRed to South Bellevue
stops,stop_desc,hr,BelRed do South Bellevue,,BelRed to South Bellevue
stops,stop_desc,nl,BelRed naar South Bellevue,,BelRed to South Bellevue
stops,stop_desc,fr,BelRed vers South Bellevue,,BelRed to South Bellevue
stops,stop_desc,de,BelRed nach South Bellevue,,BelRed to South Bellevue
stops,stop_desc,it,BelRed a South Bellevue,,BelRed to South Bellevue
stops,stop_desc,ko,BelRed에서 South Bellevue 방향,,BelRed to South Bellevue
stops,stop_desc,fa,BelRed به South Bellevue,,BelRed to South Bellevue
stops,stop_desc,ru,BelRed до South Bellevue,,BelRed to South Bellevue
stops,stop_desc,sr,BelRed до South Bellevue,,BelRed to South Bellevue
stops,stop_desc,tl,BelRed papunta South Bellevue,,BelRed to South Bellevue
stops,stop_desc,vi,BelRed đến South Bellevue,,BelRed to South Bellevue
stops,stop_desc,cy,BelRed i South Bellevue,,BelRed to South Bellevue
stops,stop_desc,sw,BelRed kwenda South Bellevue,,BelRed to South Bellevue
stops,stop_desc,pt-PT,BelRed para South Bellevue,,BelRed to South Bellevue
stops,stop_desc,af,BelRed na South Bellevue,,BelRed to South Bellevue
stops,stop_desc,es,Bellevue Downtown a Downtown Redmond,,Bellevue Downtown to Downtown Redmond
stops,stop_desc,zh-Hans,Bellevue Downtown 到 Downtown Redmond,,Bellevue Downtown to Downtown Redmond
